//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-17-2018
//--  Time: 11:15
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 1000 Ohms
//--    Temperature1: 16(C), 	Resistance 1: 2650 Ohms 
//--    Temperature2: 45(C), 	Resistance 2: 800 Ohms 
//--    Temperature3: 97(C), 	Resistance 3: 183 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
204	183.61	1836 	0.996
205	183.17	1832 	1.001
206	182.74	1827 	1.006
207	182.31	1823 	1.011
208	181.88	1819 	1.016
209	181.45	1815 	1.021
210	181.03	1810 	1.025
211	180.61	1806 	1.030
212	180.19	1802 	1.035
213	179.77	1798 	1.040
214	179.36	1794 	1.045
215	178.95	1789 	1.050
216	178.54	1785 	1.055
217	178.13	1781 	1.060
218	177.72	1777 	1.064
219	177.32	1773 	1.069
220	176.92	1769 	1.074
221	176.52	1765 	1.079
222	176.12	1761 	1.084
223	175.72	1757 	1.089
224	175.33	1753 	1.094
225	174.94	1749 	1.099
226	174.55	1745 	1.104
227	174.16	1742 	1.108
228	173.77	1738 	1.113
229	173.39	1734 	1.118
230	173.00	1730 	1.123
231	172.62	1726 	1.128
232	172.24	1722 	1.133
233	171.86	1719 	1.138
234	171.49	1715 	1.143
235	171.11	1711 	1.147
236	170.74	1707 	1.152
237	170.37	1704 	1.157
238	170.00	1700 	1.162
239	169.64	1696 	1.167
240	169.27	1693 	1.172
241	168.91	1689 	1.177
242	168.54	1685 	1.182
243	168.18	1682 	1.187
244	167.82	1678 	1.191
245	167.47	1675 	1.196
246	167.11	1671 	1.201
247	166.75	1668 	1.206
248	166.40	1664 	1.211
249	166.05	1660 	1.216
250	165.70	1657 	1.221
251	165.35	1654 	1.226
252	165.00	1650 	1.230
253	164.66	1647 	1.235
254	164.31	1643 	1.240
255	163.97	1640 	1.245
256	163.63	1636 	1.250
257	163.29	1633 	1.255
258	162.95	1630 	1.260
259	162.61	1626 	1.265
260	162.28	1623 	1.270
261	161.94	1619 	1.274
262	161.61	1616 	1.279
263	161.28	1613 	1.284
264	160.95	1609 	1.289
265	160.62	1606 	1.294
266	160.29	1603 	1.299
267	159.96	1600 	1.304
268	159.64	1596 	1.309
269	159.31	1593 	1.313
270	158.99	1590 	1.318
271	158.67	1587 	1.323
272	158.35	1583 	1.328
273	158.03	1580 	1.333
274	157.71	1577 	1.338
275	157.39	1574 	1.343
276	157.08	1571 	1.348
277	156.76	1568 	1.353
278	156.45	1565 	1.357
279	156.14	1561 	1.362
280	155.83	1558 	1.367
281	155.52	1555 	1.372
282	155.21	1552 	1.377
283	154.90	1549 	1.382
284	154.59	1546 	1.387
285	154.29	1543 	1.392
286	153.98	1540 	1.396
287	153.68	1537 	1.401
288	153.38	1534 	1.406
289	153.08	1531 	1.411
290	152.78	1528 	1.416
291	152.48	1525 	1.421
292	152.18	1522 	1.426
293	151.88	1519 	1.431
294	151.59	1516 	1.436
295	151.29	1513 	1.440
296	151.00	1510 	1.445
297	150.70	1507 	1.450
298	150.41	1504 	1.455
299	150.12	1501 	1.460
300	149.83	1498 	1.465
301	149.54	1495 	1.470
302	149.25	1493 	1.475
303	148.96	1490 	1.479
304	148.68	1487 	1.484
305	148.39	1484 	1.489
306	148.11	1481 	1.494
307	147.82	1478 	1.499
308	147.54	1475 	1.504
309	147.26	1473 	1.509
310	146.98	1470 	1.514
311	146.70	1467 	1.519
312	146.42	1464 	1.523
313	146.14	1461 	1.528
314	145.86	1459 	1.533
315	145.59	1456 	1.538
316	145.31	1453 	1.543
317	145.03	1450 	1.548
318	144.76	1448 	1.553
319	144.49	1445 	1.558
320	144.21	1442 	1.563
321	143.94	1439 	1.567
322	143.67	1437 	1.572
323	143.40	1434 	1.577
324	143.13	1431 	1.582
325	142.86	1429 	1.587
326	142.60	1426 	1.592
327	142.33	1423 	1.597
328	142.06	1421 	1.602
329	141.80	1418 	1.606
330	141.53	1415 	1.611
331	141.27	1413 	1.616
332	141.01	1410 	1.621
333	140.74	1407 	1.626
334	140.48	1405 	1.631
335	140.22	1402 	1.636
336	139.96	1400 	1.641
337	139.70	1397 	1.646
338	139.44	1394 	1.650
339	139.18	1392 	1.655
340	138.93	1389 	1.660
341	138.67	1387 	1.665
342	138.41	1384 	1.670
343	138.16	1382 	1.675
344	137.90	1379 	1.680
345	137.65	1376 	1.685
346	137.40	1374 	1.689
347	137.14	1371 	1.694
348	136.89	1369 	1.699
349	136.64	1366 	1.704
350	136.39	1364 	1.709
351	136.14	1361 	1.714
352	135.89	1359 	1.719
353	135.64	1356 	1.724
354	135.39	1354 	1.729
355	135.15	1351 	1.733
356	134.90	1349 	1.738
357	134.65	1347 	1.743
358	134.41	1344 	1.748
359	134.16	1342 	1.753
360	133.92	1339 	1.758
361	133.67	1337 	1.763
362	133.43	1334 	1.768
363	133.19	1332 	1.772
364	132.95	1329 	1.777
365	132.70	1327 	1.782
366	132.46	1325 	1.787
367	132.22	1322 	1.792
368	131.98	1320 	1.797
369	131.74	1317 	1.802
370	131.51	1315 	1.807
371	131.27	1313 	1.812
372	131.03	1310 	1.816
373	130.79	1308 	1.821
374	130.56	1306 	1.826
375	130.32	1303 	1.831
376	130.09	1301 	1.836
377	129.85	1299 	1.841
378	129.62	1296 	1.846
379	129.38	1294 	1.851
