Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%)
142,1150,0,16,144,32,77,20.8,3.6,26.6,29.211,13.76,0.00,0.00,2.35,2.35,0.00,0.00
279,1157,0,16,144,32,77,20.8,3.6,25.3,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
409,1186,0,16,143,32,77,21.2,3.5,26.6,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
522,1193,0,16,143,32,77,21.5,3.6,27.8,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
634,1212,0,16,142,32,77,21.5,3.5,27.8,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
756,1217,0,16,142,32,77,21.5,3.5,27.8,31.0835,13.87,0.00,0.00,2.35,2.35,0.00,0.00
895,1237,0,16,141,32,77,21.9,3.5,28.5,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1005,1253,0,16,139,32,77,22.3,3.5,29.8,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1123,1265,0,16,141,32,77,22.3,3.5,29.8,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1244,1285,0,16,139,32,77,22.7,3.5,30.4,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1374,1311,0,16,138,32,77,23.0,3.4,30.4,31.0835,13.97,0.00,0.00,2.35,2.35,0.00,0.00
1485,1312,0,16,135,32,77,23.0,3.4,31.0,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1607,1322,0,16,132,32,77,23.4,3.4,31.0,31.458,13.76,0.00,0.00,2.35,2.35,0.00,0.00
1725,1341,0,16,133,32,78,23.8,3.4,31.0,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1850,1351,0,16,134,32,78,23.8,3.3,32.3,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1958,1361,0,16,134,32,78,23.8,3.4,32.3,31.458,14.07,0.00,0.00,2.35,2.35,0.00,0.00
2088,1376,0,16,133,32,78,24.1,3.3,32.3,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2209,1391,0,16,131,32,78,24.5,3.3,33.6,28.8365,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2331,1405,0,16,133,32,78,24.1,3.3,33.6,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2444,1408,0,16,134,32,78,24.5,3.3,34.2,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2566,1422,0,16,134,32,78,24.5,3.4,34.2,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2681,1450,0,16,129,32,78,24.9,3.3,34.2,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2795,1462,0,16,131,32,78,24.9,3.3,35.5,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2912,1482,0,16,129,32,78,25.3,3.3,35.5,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3051,1498,0,16,130,32,78,25.3,3.3,36.1,29.211,13.76,0.00,0.00,2.35,2.35,0.00,0.00
3161,1512,0,16,129,32,78,25.6,3.3,36.1,31.0835,13.66,0.00,0.00,2.35,2.35,0.00,0.00
3288,1518,0,16,130,32,78,25.6,3.3,36.8,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3402,1543,0,16,128,32,78,26.0,3.2,36.8,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3522,1565,0,16,128,32,78,26.4,3.2,37.9,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3637,1577,0,16,127,32,78,26.4,3.2,38.2,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3767,1579,0,16,131,32,78,26.0,3.2,38.2,31.0835,14.27,0.00,0.00,2.35,2.35,0.00,0.00
