Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%)
130,751,0,14,93,27,84,14.4,2.3,19.7,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
240,749,0,14,94,27,84,14.4,2.3,20.5,31.8325,14.17,0.00,0.00,2.35,2.35,0.00,0.00
350,742,0,14,96,27,84,14.4,2.4,20.4,31.8325,14.17,0.00,0.00,2.35,2.35,0.00,0.00
480,753,0,14,95,27,84,14.4,2.4,20.2,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
600,749,0,14,96,27,84,14.4,2.4,20.1,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
731,761,0,14,92,27,84,14.1,2.4,19.2,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
881,764,0,14,90,27,84,14.1,2.3,19.1,31.8325,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1152,761,0,14,90,27,84,14.1,2.3,18.8,31.8325,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1282,753,0,14,91,27,84,14.4,2.3,18.8,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1392,737,0,14,93,27,84,14.4,2.3,19.5,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1512,739,0,14,93,27,84,14.4,2.3,19.5,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1643,744,0,14,92,27,84,14.4,2.3,19.4,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1743,746,0,14,92,27,84,14.4,2.3,19.3,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1863,747,0,14,92,27,84,14.4,2.3,19.3,29.5855,14.07,0.00,0.00,2.35,2.35,0.00,0.00
