Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%)
160,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
521,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
631,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
760,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
871,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
1001,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
1111,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
1240,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
1350,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
1480,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
1590,0,0,14,0,31,85,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
1731,0,0,14,0,31,86,5.9,0.0,40.6,0,12.13,0.00,0.00,2.35,2.35,0.00,0.00
1831,0,0,14,0,31,86,5.9,0.0,40.6,0,12.13,0.00,0.00,2.35,2.35,0.00,0.00
1961,0,0,14,0,31,86,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
2071,0,0,14,0,31,86,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
2201,0,0,14,0,31,86,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
2311,0,0,14,0,31,86,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
2441,0,0,14,0,31,86,5.9,0.0,40.6,0,12.03,0.00,0.00,2.35,2.35,0.00,0.00
2551,0,0,14,0,31,86,5.9,0.0,40.9,0,11.83,0.00,0.00,2.35,2.35,0.00,0.00
2691,0,0,14,0,31,86,5.9,0.0,48.9,0,6.73,0.00,0.00,2.35,2.35,0.00,0.00
2791,0,0,14,0,31,85,5.9,0.0,45.8,0,7.85,0.00,0.00,2.35,2.35,0.00,0.00
2921,0,0,14,0,31,85,5.9,0.0,44.3,0,8.36,0.00,0.00,2.35,2.35,0.00,0.00
3031,0,0,14,0,31,85,5.9,0.0,44.3,0,8.87,0.00,0.00,2.35,2.35,0.00,0.00
3182,214,0,14,148,31,85,-3.5,8.5,63.4,77.5215,9.07,0.00,0.00,2.35,2.35,0.00,0.00
3342,376,0,14,212,31,86,-0.8,8.3,47.9,77.5215,9.48,0.00,0.00,2.35,2.35,0.00,0.00
3461,1082,0,14,80,31,86,11.5,5.3,41.8,83.888,10.30,0.00,0.00,2.35,2.35,0.00,0.00
3583,1394,0,14,108,31,86,0.3,3.4,45.4,29.5855,13.56,0.00,0.00,2.35,2.35,0.00,0.00
3692,1394,0,14,98,31,86,-0.1,2.8,39.5,31.8325,14.07,0.00,0.00,2.35,2.35,0.00,0.00
3822,1315,0,14,94,31,85,-0.5,2.5,38.4,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
