Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%)
130,710,0,14,83,30,91,14.4,2.1,9.3,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
280,699,0,14,85,30,91,14.8,2.1,9.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
404,699,0,14,85,30,91,14.4,2.1,9.2,29.96,14.27,0.00,0.00,2.35,2.35,0.00,0.00
524,708,0,14,84,30,91,14.4,2.1,9.0,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
651,701,0,14,84,30,91,14.4,2.1,8.8,31.458,14.07,0.00,0.00,2.35,2.35,0.00,0.00
762,703,0,14,84,30,91,14.4,2.1,8.6,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
886,698,0,14,85,30,91,14.4,2.1,8.5,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1003,696,0,14,85,30,91,14.8,2.1,8.5,31.458,14.38,0.00,0.00,2.35,2.35,0.00,0.00
1138,692,0,14,86,30,91,14.8,2.1,8.5,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
1297,690,0,14,86,30,91,14.8,2.1,8.8,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1438,708,0,14,84,30,91,14.4,2.1,8.7,29.96,14.38,0.00,0.00,2.35,2.35,0.00,0.00
1618,699,0,14,85,30,91,14.8,2.1,8.6,31.8325,13.66,0.00,0.00,2.35,2.35,0.00,0.00
1782,718,0,14,82,30,91,14.1,2.1,8.2,29.96,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1929,724,0,14,82,30,91,14.1,2.1,7.7,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2067,722,0,14,82,30,91,14.1,2.1,7.3,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2209,717,0,14,83,30,91,14.4,2.1,6.9,31.458,13.97,0.00,0.00,2.35,2.35,0.00,0.00
2418,728,0,14,81,30,91,14.1,2.1,6.5,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2572,708,0,14,84,30,91,14.4,2.1,6.2,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2675,705,0,14,84,30,91,14.4,2.1,5.9,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2807,700,0,14,85,30,91,14.4,2.1,5.7,29.96,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2922,702,0,14,84,30,91,14.4,2.1,5.7,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3044,708,0,14,84,30,91,14.4,2.1,5.4,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
3158,713,0,14,83,30,91,14.4,2.1,5.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3272,715,0,14,83,30,91,14.4,2.1,5.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3404,724,0,14,82,30,91,14.1,2.1,5.0,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
3534,717,0,14,83,30,91,14.4,2.1,5.0,31.458,14.07,0.00,0.00,2.35,2.35,0.00,0.00
