Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%)
138,706,0,14,86,39,92,14.4,2.1,13.2,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
249,694,0,14,85,39,92,14.8,2.1,13.2,31.8325,14.07,0.00,0.00,2.35,2.35,0.00,0.00
386,702,0,14,84,39,92,14.4,2.1,13.2,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
488,699,0,14,87,39,92,14.4,2.1,13.2,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
612,712,0,14,85,39,92,14.4,2.2,13.2,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
737,702,0,14,84,39,92,14.4,2.1,13.1,29.211,14.38,0.00,0.00,2.35,2.35,0.00,0.00
856,718,0,14,84,39,92,14.4,2.1,13.1,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
968,721,0,14,82,39,92,14.1,2.1,13.1,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1101,683,0,14,87,38,92,15.2,2.1,13.1,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
1204,701,0,14,84,38,92,14.4,2.1,13.1,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
1336,706,0,14,84,38,92,14.4,2.1,13.1,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1449,690,0,14,88,38,92,15.2,2.2,13.1,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1583,695,0,14,87,38,92,14.8,2.2,13.1,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1691,697,0,14,85,38,92,14.8,2.2,13.1,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1821,693,0,14,85,38,92,14.8,2.2,13.2,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
1928,686,0,14,88,38,92,15.2,2.2,13.2,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
2062,694,0,14,121,38,92,14.8,2.4,13.3,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
2184,700,0,16,159,38,92,16.3,3.4,5.0,31.8325,13.97,0.00,0.00,2.35,2.35,0.00,0.00
2321,711,0,14,110,38,92,15.6,3.6,22.7,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2474,860,0,14,90,38,92,14.8,3.0,18.5,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
2615,962,0,14,84,38,92,14.4,2.6,16.4,31.0835,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2759,1016,0,14,66,38,92,13.3,2.1,17.4,31.458,14.38,0.00,0.00,2.35,2.35,0.00,0.00
2918,1028,0,14,67,38,92,12.6,1.8,18.5,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3038,954,0,14,72,38,92,14.4,1.8,16.4,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3179,835,0,14,92,38,92,16.7,2.0,22.2,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3319,764,0,14,122,38,92,21.5,2.5,23.1,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
3449,833,0,15,129,38,92,12.2,2.9,16.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3591,859,0,15,123,38,92,11.5,3.0,15.7,29.211,14.38,0.00,0.00,2.35,2.35,0.00,0.00
3741,885,0,15,118,38,92,11.5,3.0,14.5,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3859,939,0,15,110,38,92,10.7,2.9,13.7,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3989,993,0,16,115,38,92,10.3,2.9,5.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4154,1057,0,18,174,39,92,15.2,3.9,5.0,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4299,1204,0,18,169,39,92,20.8,4.1,5.0,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4421,1371,0,18,158,39,92,24.9,3.8,21.3,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4547,1528,0,14,114,39,92,27.5,3.4,30.9,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4710,1681,0,14,87,38,92,25.6,2.5,41.0,31.458,14.38,0.00,0.00,2.35,2.35,0.00,0.00
4864,1748,0,14,81,38,92,21.9,2.2,40.3,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
4988,1753,0,14,77,38,92,18.9,2.1,40.2,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5130,1721,0,14,80,38,92,15.2,2.0,40.3,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5425,1540,0,18,157,38,92,21.9,3.8,34.2,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5579,1486,0,18,157,38,92,26.0,4.0,31.6,29.211,14.38,0.00,0.00,2.35,2.35,0.00,0.00
5694,1667,0,18,144,38,92,29.0,3.7,36.7,31.458,14.38,0.00,0.00,2.35,2.35,0.00,0.00
5824,1701,0,18,155,38,92,28.6,3.8,38.5,29.211,13.76,0.00,0.00,2.35,2.35,0.00,0.00
5935,1825,0,20,176,38,92,27.9,4.3,39.7,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6308,2325,0,16,133,38,92,33.5,3.5,47.0,35.5775,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6471,2411,0,14,83,38,92,29.4,2.3,49.4,40.0715,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6784,2362,0,14,74,38,92,18.2,1.9,45.9,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6895,2290,0,14,76,38,92,14.8,1.9,45.7,28.8365,14.38,0.00,0.00,2.35,2.35,0.00,0.00
7033,2116,0,14,83,38,92,10.3,2.0,45.0,31.0835,14.07,0.00,0.00,2.35,2.35,0.00,0.00
7200,1787,0,17,124,37,92,15.2,2.9,39.7,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7345,1849,0,20,189,37,92,24.5,4.6,39.4,31.0835,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7452,1893,0,20,214,37,92,24.9,5.1,41.9,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7579,2056,0,20,204,37,92,26.8,5.1,43.2,32.207,14.17,0.00,0.00,2.35,2.35,0.00,0.00
7695,2108,0,21,209,37,92,26.8,5.1,44.7,34.8285,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7824,2287,0,21,200,37,92,29.4,4.8,47.0,40.8205,13.97,0.00,0.00,2.35,2.35,0.00,0.00
7995,2482,0,20,189,37,92,31.2,4.6,47.9,44.191,13.87,0.00,0.00,2.35,2.35,0.00,0.00
8163,2585,0,14,72,37,92,32.7,2.5,52.5,44.94,14.27,0.00,0.00,2.35,2.35,0.00,0.00
8307,2596,0,14,82,37,92,26.8,2.1,50.3,51.681,13.87,0.00,0.00,2.35,2.35,0.00,0.00
8464,2515,0,14,78,37,92,21.5,2.0,48.1,53.179,14.27,0.00,0.00,2.35,2.35,0.00,0.00
8582,2421,0,14,81,37,92,17.1,1.9,46.2,55.8005,14.27,0.00,0.00,2.35,2.35,0.00,0.00
8704,2299,0,16,98,37,92,18.5,2.4,45.3,55.8005,14.38,0.00,0.00,2.35,2.35,0.00,0.00
9071,2088,0,19,163,37,92,31.2,4.0,45.0,46.0635,13.97,0.00,0.00,2.35,2.35,0.00,0.00
9235,2172,0,20,177,37,92,30.9,4.2,45.9,43.0675,14.07,0.00,0.00,2.35,2.35,0.00,0.00
9374,2259,0,20,180,37,92,30.9,4.3,46.6,48.3105,14.38,0.00,0.00,2.35,2.35,0.00,0.00
9500,2343,0,20,176,37,92,31.6,4.2,46.8,49.0595,14.38,0.00,0.00,2.35,2.35,0.00,0.00
9697,2403,0,17,158,37,92,32.7,4.0,47.0,54.3025,14.38,0.00,0.00,2.35,2.35,0.00,0.00
9826,2463,0,14,84,37,91,30.1,2.5,49.8,55.8005,14.38,0.00,0.00,2.35,2.35,0.00,0.00
9985,2443,0,14,80,37,91,24.1,2.1,47.8,56.175,14.27,0.00,0.00,2.35,2.35,0.00,0.00
