Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%)
151,729,0,14,83,39,92,14.1,2.1,13.1,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
289,737,0,14,80,39,92,14.1,2.1,13.0,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
410,715,0,14,83,39,92,14.4,2.1,12.9,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
531,711,0,14,83,39,92,14.4,2.1,12.9,29.5855,13.87,0.00,0.00,2.35,2.35,0.00,0.00
642,713,0,14,83,39,92,14.4,2.1,12.9,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
769,716,0,14,83,39,92,14.4,2.1,12.8,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
875,707,0,14,84,39,92,14.4,2.1,12.8,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
1012,680,0,14,87,39,92,15.6,2.1,12.8,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1128,683,0,14,87,39,92,15.6,2.2,12.9,31.8325,13.66,0.00,0.00,2.35,2.35,0.00,0.00
1247,688,0,14,86,39,92,15.2,2.2,12.9,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1353,661,0,14,90,39,92,17.1,2.2,13.8,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1494,676,0,14,90,39,92,15.9,2.2,13.2,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1641,677,0,14,89,39,92,15.9,2.2,13.2,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1790,672,0,14,90,39,92,16.3,2.3,13.5,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
1937,694,0,14,87,39,92,14.8,2.2,13.6,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2055,691,0,14,88,39,92,14.8,2.2,13.6,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2171,687,0,14,88,39,92,15.2,2.2,13.7,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2301,700,0,14,86,39,92,14.4,2.2,13.7,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
2460,721,0,14,84,39,92,14.1,2.2,13.6,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2566,728,0,14,83,39,92,14.1,2.1,13.6,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
2699,724,0,14,84,39,92,14.1,2.1,13.5,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2814,734,0,14,82,39,92,14.1,2.1,13.5,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2928,738,0,14,82,39,92,14.1,2.1,13.4,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
3051,720,0,14,84,39,92,14.4,2.1,13.4,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3181,726,0,14,83,39,92,14.1,2.1,13.3,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
3298,717,0,14,84,39,92,14.4,2.1,13.3,29.5855,13.97,0.00,0.00,2.35,2.35,0.00,0.00
3415,724,0,14,84,39,92,14.1,2.1,13.2,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3523,715,0,14,85,39,92,14.4,2.1,13.2,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3641,711,0,14,85,39,92,14.4,2.1,13.1,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
3755,706,0,14,86,39,92,14.4,2.1,13.1,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3892,714,0,14,85,39,92,14.4,2.1,13.1,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4002,727,0,14,83,39,92,14.1,2.1,13.0,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4128,728,0,14,83,39,92,14.1,2.1,13.0,29.96,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4249,719,0,14,84,39,92,14.4,2.1,12.9,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4373,724,0,14,84,39,92,14.1,2.1,12.9,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
4473,704,0,14,84,39,92,14.4,2.1,12.9,31.8325,13.87,0.00,0.00,2.35,2.35,0.00,0.00
4617,697,0,14,85,39,92,14.8,2.1,12.9,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4726,702,0,14,84,39,92,14.4,2.1,12.9,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4855,696,0,14,85,39,92,14.8,2.1,12.8,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
4965,696,0,14,87,39,92,14.8,2.1,12.8,29.211,14.38,0.00,0.00,2.35,2.35,0.00,0.00
5099,688,0,14,86,39,92,15.2,2.1,12.9,29.5855,14.07,0.00,0.00,2.35,2.35,0.00,0.00
5259,695,0,14,85,39,92,14.8,2.2,12.9,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
5352,693,0,14,85,39,92,14.8,2.2,12.9,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
5500,689,0,14,88,39,92,15.2,2.2,13.0,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
5599,692,0,14,88,39,92,14.8,2.2,13.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5731,697,0,14,87,39,92,14.8,2.2,13.1,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5843,685,0,14,88,39,92,15.2,2.2,13.1,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5960,690,0,14,88,39,92,15.2,2.2,13.1,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6075,690,0,14,88,39,92,15.2,2.2,13.2,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6216,679,0,14,89,39,92,15.6,2.2,13.2,31.458,14.38,0.00,0.00,2.35,2.35,0.00,0.00
6327,694,0,14,87,39,92,14.8,2.2,13.3,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
6464,705,0,14,86,39,92,14.4,2.2,13.3,31.8325,14.17,0.00,0.00,2.35,2.35,0.00,0.00
6614,695,0,14,87,39,92,14.8,2.2,13.3,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6723,708,0,14,86,39,92,14.4,2.2,13.3,31.8325,14.38,0.00,0.00,2.35,2.35,0.00,0.00
6851,711,0,14,85,39,92,14.4,2.2,13.3,29.5855,13.76,0.00,0.00,2.35,2.35,0.00,0.00
6986,718,0,14,84,39,92,14.1,2.2,13.2,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7124,717,0,14,84,39,92,14.4,2.1,13.2,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7253,716,0,14,85,39,92,14.4,2.1,13.1,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7366,737,0,14,80,39,92,14.1,2.1,13.1,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
7508,726,0,14,82,39,93,14.1,2.1,13.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7642,719,0,14,82,39,93,14.4,2.1,13.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7761,717,0,14,83,39,93,14.4,2.1,12.9,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7886,701,0,14,86,39,93,14.4,2.1,12.9,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
8017,699,0,14,85,39,92,14.4,2.1,12.9,29.96,14.38,0.00,0.00,2.35,2.35,0.00,0.00
8169,690,0,14,86,39,92,15.2,2.1,12.9,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
8300,694,0,14,85,39,92,14.8,2.1,12.9,31.458,14.38,0.00,0.00,2.35,2.35,0.00,0.00
8465,689,0,14,88,39,92,15.2,2.2,13.0,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
8603,686,0,14,86,39,92,15.2,2.2,13.0,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
8739,707,0,14,84,39,92,14.4,2.2,13.1,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
8860,694,0,14,85,39,92,14.8,2.1,13.0,29.211,14.38,0.00,0.00,2.35,2.35,0.00,0.00
8960,698,0,14,85,39,92,14.8,2.1,13.0,31.8325,13.76,0.00,0.00,2.35,2.35,0.00,0.00
9097,697,0,14,85,39,93,14.4,2.1,13.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
9257,691,0,14,86,39,93,14.8,2.1,13.0,29.211,14.38,0.00,0.00,2.35,2.35,0.00,0.00
9367,684,0,14,86,39,93,15.2,2.2,13.1,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
9486,688,0,14,86,39,93,15.2,2.2,13.1,31.8325,13.66,0.00,0.00,2.35,2.35,0.00,0.00
9621,706,0,14,84,39,93,14.4,2.1,13.1,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
9762,698,0,14,85,39,93,14.4,2.1,13.1,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
9892,709,0,14,83,39,93,14.4,2.1,13.1,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
9995,709,0,14,83,39,93,14.4,2.1,13.0,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
10127,698,0,14,85,39,93,14.4,2.1,13.0,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
10241,699,0,14,87,39,93,14.4,2.1,13.0,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
10370,698,0,14,85,39,93,14.4,2.1,13.0,31.8325,14.17,0.00,0.00,2.35,2.35,0.00,0.00
10486,685,0,14,86,39,93,15.2,2.1,13.0,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
10601,697,0,14,85,39,93,14.4,2.1,13.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
