Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%)
130,721,0,14,88,40,86,14.4,2.2,16.6,31.8325,13.87,0.00,0.00,2.35,2.35,0.00,0.00
260,710,0,14,89,40,86,14.8,2.2,16.5,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
413,718,0,14,88,40,86,14.8,2.2,16.5,31.8325,13.66,0.00,0.00,2.35,2.35,0.00,0.00
523,717,0,14,88,40,86,14.8,2.2,16.4,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
643,723,0,14,88,40,86,14.8,2.2,16.4,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
764,720,0,14,88,40,86,14.8,2.2,16.3,31.8325,13.66,0.00,0.00,2.35,2.35,0.00,0.00
895,712,0,14,89,40,86,14.8,2.2,16.3,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1006,717,0,14,88,40,85,14.8,2.2,16.3,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1127,723,0,14,88,40,85,14.4,2.2,16.2,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1228,711,0,14,89,40,85,14.8,2.2,16.2,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1358,709,0,14,89,40,85,14.8,2.2,16.2,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1470,706,0,14,88,40,85,14.8,2.2,16.2,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1610,702,0,14,90,40,85,14.8,2.2,16.1,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1720,700,0,14,90,40,85,14.8,2.2,16.1,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1830,701,0,14,90,40,85,14.8,2.3,16.1,29.211,14.07,0.00,0.00,2.35,2.35,0.00,0.00
1969,712,0,14,89,40,85,14.8,2.2,16.1,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2084,713,0,14,89,40,85,14.8,2.2,16.1,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2184,713,0,14,89,40,85,14.8,2.2,16.0,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2324,720,0,14,88,40,85,14.8,2.2,16.0,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2434,719,0,14,86,40,85,14.8,2.2,16.0,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2545,719,0,14,86,40,85,14.8,2.2,15.9,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2675,713,0,14,89,40,85,14.8,2.2,15.9,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2796,719,0,14,84,40,85,14.8,2.2,15.9,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2907,711,0,14,87,40,85,14.8,2.2,15.8,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
3042,707,0,14,88,40,85,14.8,2.2,15.8,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3153,710,0,14,87,40,85,14.8,2.2,15.8,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3303,705,0,14,88,40,85,14.8,2.2,15.7,31.458,14.38,0.00,0.00,2.35,2.35,0.00,0.00
3433,703,0,14,90,40,85,14.8,2.2,15.7,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3556,698,0,14,87,40,85,15.2,2.2,15.6,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
3687,693,0,14,91,40,85,15.2,2.2,16.6,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3807,693,0,14,91,40,85,15.2,2.3,16.7,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3928,698,0,14,91,40,84,15.2,2.3,16.7,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
4018,697,0,14,91,40,84,15.2,2.3,16.7,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
4174,709,0,14,89,40,84,14.8,2.3,16.7,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4275,708,0,14,89,40,84,14.8,2.3,16.7,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4415,709,0,14,89,40,84,14.8,2.2,16.6,29.5855,13.56,0.00,0.00,2.35,2.35,0.00,0.00
4565,709,0,14,89,40,84,14.8,2.2,16.6,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4657,711,0,14,89,40,84,14.8,2.3,16.6,31.458,13.97,0.00,0.00,2.35,2.35,0.00,0.00
4807,712,0,14,89,40,84,14.8,2.2,16.6,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
4927,726,0,14,87,40,84,14.4,2.2,16.5,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5047,713,0,14,89,40,84,14.8,2.2,16.5,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5167,700,0,14,90,40,84,15.2,2.2,16.5,31.458,14.07,0.00,0.00,2.35,2.35,0.00,0.00
5297,708,0,14,89,40,84,14.8,2.2,16.4,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
5377,718,0,14,88,40,84,14.8,2.2,16.4,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5518,716,0,14,88,40,84,14.8,2.2,16.4,31.8325,14.17,0.00,0.00,2.35,2.35,0.00,0.00
5638,709,0,14,89,40,84,14.8,2.2,16.3,31.8325,14.17,0.00,0.00,2.35,2.35,0.00,0.00
5753,715,0,14,85,40,84,14.8,2.2,16.3,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
5874,714,0,14,93,40,84,14.8,2.2,16.3,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
6024,707,0,15,128,40,84,14.8,2.6,16.2,31.8325,13.76,0.00,0.00,2.35,2.35,0.00,0.00
6164,711,0,15,134,40,84,14.8,3.0,16.2,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6266,746,0,15,129,40,84,14.4,3.1,16.2,29.211,13.46,0.00,0.00,2.35,2.35,0.00,0.00
6416,803,0,15,118,40,84,13.3,3.1,15.2,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6506,858,0,15,111,40,84,12.2,3.0,14.9,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6656,879,0,15,106,40,84,11.8,2.8,13.6,31.8325,13.76,0.00,0.00,2.35,2.35,0.00,0.00
6773,863,0,15,107,40,84,12.6,2.8,14.1,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6883,842,0,15,109,40,84,12.6,2.8,14.0,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7003,905,0,15,102,40,84,11.5,2.6,12.6,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7143,939,0,15,95,40,84,11.1,2.5,5.0,29.211,14.38,0.00,0.00,2.35,2.35,0.00,0.00
