Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%)
141,758,0,14,91,35,89,13.7,2.3,18.6,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
292,748,0,14,92,35,89,14.1,2.3,19.3,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
408,744,0,14,94,35,89,14.1,2.3,19.2,29.5855,13.66,0.00,0.00,2.35,2.35,0.00,0.00
519,747,0,14,92,35,89,14.1,2.3,19.1,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
659,752,0,14,91,35,89,13.7,2.3,18.3,31.458,13.76,0.00,0.00,2.35,2.35,0.00,0.00
759,750,0,14,92,35,89,14.1,2.3,19.0,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
889,752,0,14,91,35,89,14.1,2.3,18.9,29.5855,13.66,0.00,0.00,2.35,2.35,0.00,0.00
998,756,0,14,91,35,89,13.7,2.3,18.8,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1110,762,0,14,88,35,89,13.7,2.3,17.9,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1220,755,0,14,89,35,89,13.7,2.3,18.7,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1370,758,0,14,89,35,89,13.7,2.3,17.8,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1486,752,0,14,91,35,89,13.7,2.3,17.7,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1587,753,0,14,90,35,89,13.7,2.3,17.6,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1697,750,0,14,90,35,89,14.1,2.3,17.5,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1847,744,0,14,92,35,89,14.1,2.3,18.3,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1964,750,0,14,90,35,89,14.1,2.3,18.2,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2084,749,0,14,90,35,89,14.1,2.3,18.1,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2204,746,0,14,90,35,89,14.1,2.3,18.0,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2334,755,0,14,89,35,89,13.7,2.3,17.2,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2453,751,0,14,90,35,89,14.1,2.3,17.9,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2561,749,0,14,90,35,89,14.1,2.3,17.8,31.458,14.07,0.00,0.00,2.35,2.35,0.00,0.00
2691,746,0,15,114,35,88,14.1,2.4,17.7,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2821,745,0,16,155,35,88,15.2,3.2,6.9,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2976,778,0,16,173,35,88,14.8,4.1,13.2,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
3078,900,0,16,153,35,88,15.6,4.0,15.0,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
3218,1053,0,16,131,35,88,18.9,3.5,16.8,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
3368,1239,0,16,129,35,88,23.8,3.3,27.0,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
3478,1297,0,15,117,35,88,24.1,3.1,36.6,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
3610,1314,0,15,126,35,88,24.9,3.2,34.8,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
3730,1316,0,15,118,35,88,24.5,3.0,32.9,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3850,1395,0,15,111,35,88,24.5,2.8,35.4,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3960,1469,0,15,111,35,88,25.3,2.8,37.4,31.0835,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4081,1529,0,15,113,35,88,25.6,2.8,38.8,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
4192,1574,0,15,114,35,88,26.0,2.8,38.8,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
4322,1639,0,15,108,35,88,26.4,2.7,40.0,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
4432,1689,0,15,108,35,88,26.4,2.7,41.0,31.0835,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4578,1716,0,14,89,35,88,25.3,2.6,42.9,30.709,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4728,1749,0,14,83,35,88,21.5,2.3,42.2,31.0835,14.27,0.00,0.00,2.35,2.35,0.00,0.00
4818,1728,0,14,84,35,88,18.5,2.2,42.2,31.0835,14.17,0.00,0.00,2.35,2.35,0.00,0.00
4968,1693,0,14,86,35,88,15.9,2.1,41.6,28.8365,13.66,0.00,0.00,2.35,2.35,0.00,0.00
5079,1650,0,14,87,35,88,13.0,2.1,41.0,28.8365,13.66,0.00,0.00,2.35,2.35,0.00,0.00
5211,1592,0,14,88,35,88,10.0,2.2,40.7,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5371,1309,0,16,140,35,88,13.0,3.3,32.9,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5481,1329,0,16,121,35,88,18.2,3.2,31.0,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5611,1448,0,16,125,35,88,23.8,3.1,34.8,28.8365,14.17,0.00,0.00,2.35,2.35,0.00,0.00
5727,1405,0,16,136,35,88,24.1,3.3,33.5,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5857,1516,0,18,144,35,88,25.3,3.5,36.1,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
5967,1661,0,18,162,35,88,24.9,3.9,39.1,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6087,1684,0,18,166,35,88,24.5,4.0,39.4,31.0835,14.17,0.00,0.00,2.35,2.35,0.00,0.00
6179,1852,0,18,152,35,88,26.0,3.7,42.9,28.8365,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6329,1911,0,16,141,35,88,26.4,3.6,44.2,28.8365,14.07,0.00,0.00,2.35,2.35,0.00,0.00
6448,2039,0,14,86,35,88,26.0,2.8,48.7,28.8365,14.17,0.00,0.00,2.35,2.35,0.00,0.00
6569,2096,0,14,87,35,88,22.3,2.4,48.0,28.8365,14.27,0.00,0.00,2.35,2.35,0.00,0.00
6688,2112,0,14,85,35,88,19.3,2.2,46.8,28.8365,14.17,0.00,0.00,2.35,2.35,0.00,0.00
6792,2076,0,14,84,35,88,15.9,2.1,46.4,28.8365,14.17,0.00,0.00,2.35,2.35,0.00,0.00
6912,2020,0,14,87,35,88,13.0,2.1,46.2,28.8365,14.17,0.00,0.00,2.35,2.35,0.00,0.00
7052,1936,0,14,86,35,88,9.6,2.1,45.3,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7223,1783,0,15,110,35,88,8.5,2.7,42.9,31.0835,13.87,0.00,0.00,2.35,2.35,0.00,0.00
7378,1447,0,16,139,35,88,16.7,3.3,36.7,28.8365,14.07,0.00,0.00,2.35,2.35,0.00,0.00
7538,1571,0,18,160,35,88,23.8,4.0,38.2,28.8365,14.07,0.00,0.00,2.35,2.35,0.00,0.00
7659,1569,0,18,179,35,88,23.0,4.3,39.4,31.0835,14.27,0.00,0.00,2.35,2.35,0.00,0.00
7801,1782,0,20,205,35,88,21.5,5.1,41.3,31.0835,14.17,0.00,0.00,2.35,2.35,0.00,0.00
7941,1804,0,21,240,35,88,19.3,5.7,42.2,32.5815,14.27,0.00,0.00,2.35,2.35,0.00,0.00
8101,2032,0,23,283,35,87,18.5,7.0,46.6,33.3305,14.27,0.00,0.00,2.35,2.35,0.00,0.00
8261,2313,0,24,272,35,87,21.9,6.7,49.9,38.199,13.87,0.00,0.00,2.35,2.35,0.00,0.00
8405,2576,0,21,246,35,87,24.5,6.1,50.8,41.944,14.27,0.00,0.00,2.35,2.35,0.00,0.00
8535,2693,0,14,82,35,87,33.1,3.0,57.3,44.94,14.17,0.00,0.00,2.35,2.35,0.00,0.00
8705,2786,0,14,94,35,87,26.8,2.3,55.3,50.932,13.76,0.00,0.00,2.35,2.35,0.00,0.00
8839,2713,0,14,89,35,87,21.2,2.2,53.2,52.8045,14.17,0.00,0.00,2.35,2.35,0.00,0.00
8979,2625,0,14,84,35,87,16.3,2.1,51.3,53.5535,14.27,0.00,0.00,2.35,2.35,0.00,0.00
9140,2419,0,16,107,35,87,17.1,2.6,47.9,56.175,14.17,0.00,0.00,2.35,2.35,0.00,0.00
9290,2063,0,18,169,35,87,27.1,3.9,46.4,52.8045,14.27,0.00,0.00,2.35,2.35,0.00,0.00
9407,2210,0,19,171,35,87,27.9,4.1,48.3,52.0555,14.27,0.00,0.00,2.35,2.35,0.00,0.00
9537,2163,0,20,214,34,87,24.9,5.2,48.3,49.434,14.07,0.00,0.00,2.35,2.35,0.00,0.00
9697,2311,0,21,218,34,87,25.6,5.3,49.7,52.8045,14.07,0.00,0.00,2.35,2.35,0.00,0.00
9858,2427,0,21,209,34,87,26.4,5.1,49.9,53.5535,14.27,0.00,0.00,2.35,2.35,0.00,0.00
9984,2535,0,21,201,34,87,27.5,4.9,50.1,55.8005,14.27,0.00,0.00,2.35,2.35,0.00,0.00
10125,2614,0,14,82,34,87,32.0,2.8,56.0,53.5535,14.17,0.00,0.00,2.35,2.35,0.00,0.00
10245,2648,0,14,97,34,87,27.1,2.4,54.4,55.8005,14.17,0.00,0.00,2.35,2.35,0.00,0.00
10386,2601,0,14,89,34,87,22.7,2.3,52.9,53.5535,13.97,0.00,0.00,2.35,2.35,0.00,0.00
10521,2502,0,14,86,34,87,17.4,2.2,50.5,56.175,14.27,0.00,0.00,2.35,2.35,0.00,0.00
10661,2384,0,15,90,34,87,13.0,2.2,48.6,53.5535,14.17,0.00,0.00,2.35,2.35,0.00,0.00
