Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%)
140,700,0,14,86,35,83,15.2,2.2,14.0,29.5855,14.38,0.00,0.00,2.35,2.35,0.00,0.00
271,711,0,14,87,35,83,14.8,2.2,14.0,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
391,702,0,14,90,35,83,15.2,2.2,14.0,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
527,691,0,14,92,35,83,15.6,2.2,14.0,31.0835,14.27,0.00,0.00,2.35,2.35,0.00,0.00
648,697,0,14,91,35,83,15.2,2.3,14.1,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
757,689,0,14,92,35,83,15.6,2.3,14.1,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
877,695,0,14,89,35,83,15.6,2.3,14.2,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1008,710,0,14,85,35,83,14.8,2.2,14.2,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1159,698,0,14,89,35,83,15.2,2.2,14.2,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1259,694,0,14,89,35,83,15.6,2.2,14.2,29.5855,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1399,696,0,14,87,35,83,15.2,2.2,14.2,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1499,695,0,14,89,35,83,15.2,2.2,14.3,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1633,695,0,14,89,35,83,15.2,2.2,14.3,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1734,683,0,14,93,35,83,15.9,2.3,14.4,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1863,688,0,14,92,35,83,15.6,2.3,14.5,31.458,13.66,0.00,0.00,2.35,2.35,0.00,0.00
1974,694,0,14,91,35,83,15.6,2.3,14.5,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2117,690,0,14,90,35,83,15.6,2.3,14.6,31.8325,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2246,702,0,14,90,35,83,15.2,2.3,14.6,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2368,715,0,14,87,35,83,14.8,2.2,14.6,29.5855,14.27,0.00,0.00,2.35,2.35,0.00,0.00
2478,705,0,14,90,35,83,14.8,2.2,14.6,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2621,706,0,18,203,35,83,16.7,4.5,5.0,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2778,801,0,14,134,35,83,14.1,5.0,26.5,31.458,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2938,1018,0,18,215,35,83,17.1,5.1,5.0,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3088,1310,0,18,168,35,83,22.3,4.0,20.2,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3241,1518,0,15,110,35,83,28.6,2.9,32.9,31.458,14.27,0.00,0.00,2.35,2.35,0.00,0.00
3341,1456,0,14,111,35,83,25.3,2.6,39.8,28.8365,14.27,0.00,0.00,2.35,2.35,0.00,0.00
