Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%)
150,838,0,16,167,27,81,16.7,4.0,14.0,31.8325,14.27,0.00,0.00,2.35,2.35,0.00,0.00
291,992,0,17,154,27,81,17.8,4.0,15.5,31.458,13.87,0.00,0.00,2.35,2.35,0.00,0.00
411,1173,0,17,136,27,81,22.3,3.6,23.3,31.8325,14.17,0.00,0.00,2.35,2.35,0.00,0.00
531,1288,0,17,139,27,81,24.1,3.5,29.5,29.211,14.17,0.00,0.00,2.35,2.35,0.00,0.00
651,1323,0,17,146,27,81,24.1,3.6,32.0,29.5855,13.76,0.00,0.00,2.35,2.35,0.00,0.00
771,1327,0,17,150,27,81,23.8,3.8,32.8,31.458,13.97,0.00,0.00,2.35,2.35,0.00,0.00
891,1481,0,17,136,27,81,26.0,3.5,37.2,29.211,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1021,1654,0,17,136,27,81,27.5,3.4,40.2,31.0835,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1192,1761,0,17,139,27,81,28.2,3.5,41.5,29.211,13.87,0.00,0.00,2.35,2.35,0.00,0.00
1342,1940,0,17,131,27,81,29.4,3.3,44.6,31.0835,13.97,0.00,0.00,2.35,2.35,0.00,0.00
1442,2051,0,14,87,27,81,29.0,2.8,49.3,31.0835,13.76,0.00,0.00,2.35,2.35,0.00,0.00
1572,2061,0,14,93,27,81,27.1,2.5,48.0,31.0835,14.17,0.00,0.00,2.35,2.35,0.00,0.00
1693,2073,0,14,87,27,81,25.6,2.3,46.7,31.0835,14.07,0.00,0.00,2.35,2.35,0.00,0.00
1813,2062,0,14,85,27,81,23.8,2.2,46.7,31.0835,14.27,0.00,0.00,2.35,2.35,0.00,0.00
1923,2031,0,14,86,27,81,22.3,2.1,46.5,31.0835,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2054,1988,0,14,88,27,81,20.4,2.2,46.3,31.0835,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2154,1929,0,14,91,26,81,19.3,2.2,45.6,31.0835,14.07,0.00,0.00,2.35,2.35,0.00,0.00
2294,1879,0,15,108,26,81,19.3,2.4,44.3,31.0835,14.17,0.00,0.00,2.35,2.35,0.00,0.00
2404,1823,0,16,118,26,81,26.0,2.7,44.0,31.0835,14.17,0.00,0.00,2.35,2.35,0.00,0.00
